0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,2142.1454
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,2359.9271
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,1630.3402
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,804.38585
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,1667.7837
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,1254.9055
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,3354.6393
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,2026.7146
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,2508.5276
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,1575.8795
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,2538.124
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,2122.3838
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,519.67955
120.0,635.0,161.0,556.0,294.0,275.0,274.0,336.0,432.0,228.0,1980.0,200.0,420.0,1000.0,500.0,1320.0,1200.0,840.0,240.0,1000.0,1920.0,148.0,500.0,300.0,92.0,1200.0,125.0,85.0,440.0,210.0,250.0,630.0,500.0,394.0,531.0,840.0,642.0,760.0,110.0,110.0,0.28062789
